token,count
EECE LATE OF PR GEO,1
GARETS PAR CAROLINE,1
ESQ OF WESTMORELAND,1
S BALLARD OF CAROLINE,1
SHOAL IN NORTHAMPTON,1
OW SUNKEN L IN NORF,1
SUNKEN L IN KING WM,1
ACS AMELICA,1
EPH BROCK OF SPOTSYL,1
AND OF MARSH IN HENRI,1
T AMNNES PAR ESSEX,1
LIAM ROBERTSON OF THE,1
SAME,1
E ISLANDS IN PR ANNE,1
ERSEY  NOW OF ORANGE,1
ER ROBERSON OF AMELIA,1
CS SURRY  BRUNSWICK,1
JOHN WALLER OF AMELIA,1
POLES IN JAMES,1
UNKEN LAND IN K  Q,1
IN THA PART OF ORANGE,1
MARTINS PAR HANOVER,1
S SW LAND IN NORFOLK,1
HIS OLD CORNER IN THE,1
AC SURRY,1
ED LUKES NORTHAMPTON,1
IAM STONE OF RICHMOND,1
LUS FIELD OF PR GEO,1
HARRISON OF BRUNSWICK,1
SEY CAMP IN GOOCHLAND,1
GENT OF CHARLES,1
OF MARSH L IN SURRY,1
IN THAT PART ORANGE,1
AES HENRICO,1
BLISLAND IN NEW KENT,1
P  LOW LAND IN HENRI,1
BOLLING LATE OF SURRY,1
AES GOOCHLAND,1
ORSE RIDGE IN NORFOLK,1
THAT PART OF ORANGE,1
SACS GOOCHLAND,1
FORMERLY IN BRUNSWICK,1
AND LOW LAND IN HENRI,1
SOUTHAM IN GOOCHLAND,1
F SWAMP L IN PR ANN,1
SWAMP L IN PR ANN,1
ACS PR GEORGE,1
WILLIAM MACKONI,1
N ISLAND IN GOOCHLAND,1
N ISLAND IN LUNENBURG,1
AES SURRY,1
MARSH IN ELIZABETH,1
ISLAND BAY IN PR ANN,1
D QUARLES OF KING WM,1
F SW LAND IN NORFOLK,1
ATTLE SNAKE BR  THE,1
TERFIELD  CUMBERLAND,1
PERCHES ESSEX,1
AES SOUTHAMPTON,1
F SWAMP LAND IN NORF,1
PERCHES MIDDLESEX,1
S SWAMP LAND IN NORF,1
LBS TOBAC,1
UNKEN GROUND IN NORF,1
TH FARNHAM PAR ESSEX,1
BOTH SIDES OF PORTOBA,1
K PARISH IN NANSEMOND,1
THEN IN BRUNSWICK,1
ACRE IN YORK,1
AND SWAMP IN NORFOLK,1
LAND IN KING  QUEEN,1
A LUNENBURGH,1
LES IN KING AND QUEEN,1
ETH RIV PAR NORFOLK,1
ERLY SURRY NOW SUSSEX,1
RIV PAR IN NORFOLK,1
A BRUNSWICK,1
SLAND IN CHESTERFIELD,1
RIVER PAR IN NORFOLK,1
ACS IN SPOTSYL,1
ACS IN NANSEMOND,1
SURRY AND SOUTHAMPTON,1
UNENBURGH AND HALIFAX,1
GEORGE WALT BURGH,1
A LI METUS,1
ACS ALB,1
JAMES BREADEN,1
ACS SPOTSYLV,1
ACS IN SOUTHAMPTON,1
OF SWAMP LAND IN YORK,1
LOW LAND IN PR ANNE,1
UNKEN LAND IN HANOVER,1
AINT ANN IN ALBEMARLE,1
AND OF MARSH IN CHAS,1
RSH LAND IN NANSEMOND,1
MARSH LAND IN PR ANN,1
AMP LAND IN DINWIDDIE,1
A ACS LUNENBURGH,1
ACS AUGUST,1
AES LUNENBURGH,1
ACS ALMEMARLE,1
ND PIONEERS ALBEMARLE,1
PROBABLY LUNENBURG,1
ARSH LAND IN NEW KENT,1
UNKEN LAND IN NORFOLK,1
D WARD THEN IN AMELIA,1
ACS IN HALIFAX,1
UARE POLES IN NORFOLK,1
AES BUCKINGHAME,1
NDERS OF IS OF WIGHT,1
ACS ELIZA,1
ACES ALBEMARLE,1
ANNA RIVER IN AMHERST,1
RSH LAND IN ELIZABETH,1
COWNE OF KING WILLIAM,1
ANNEL IN KING  QUEEN,1
R SWAMP LAND IN JAMES,1
N DAN RIV IN HALIFAX,1
SLAND IN KING  QUEEN,1
AC AMHERST,1
ACRE IN PR ANNE,1
CHRISTOPHER FRANCIS,1
CHARLOTTE,1
SLAND IN KING WILLIAM,1
RESS LAND IN PR ANNE,1
AES HALIFAX,1
TO CHARLES HALIFAX,1
TO WILLIAM BRUNSWICK,1
POLES IN CAROLINE,1
RAYS CHURCH IN ESSEX,1
AES PITTSYLVANIA,1
AC SOUTHAMPTON,1
POLES IN HENRICO,1
H SIDES OF GOOCHLAND,1
LUKE PAR SOUTHAMPTON,1
ROODS IN AUGUSTA,1
SOUTHAMPTON,1
